site,t0,t1,code,rich,mort,mE,mLow,mLowE,mUpp,mUppE,growth,gE,gLow,gLowE,gUpp,gUppE
BCI,1982,1985,bc1,284,3.14,0.46,0.38,0.1,26,6.9,2.84,0.16,1.35,0.14,6,0.7
BCI,1985,1990,bc2,282,2.56,0.37,0.31,0.08,21.5,5.5,2.41,0.18,0.85,0.12,6.8,1
BCI,1990,1995,bc3,282,2.85,0.43,0.32,0.09,25.3,6.7,2.15,0.13,0.89,0.09,5.2,0.7
BCI,1995,2000,bc4,285,3.35,0.42,0.48,0.11,23.3,5.7,1.97,0.12,0.81,0.09,4.8,0.6
BCI,2000,2005,bc5,285,2.91,0.41,0.4,0.1,21.4,5.5,2.1,0.16,0.73,0.1,6.1,0.9
Yasuni,1996,2003,yas,1077,1.55,0.1,0.31,0.04,7.7,0.9,1.67,0.04,0.83,0.04,3.4,0.2
La Planada,1997,2003,lap,218,3.22,0.47,0.45,0.13,22.9,5.9,2.3,0.17,0.93,0.13,5.7,0.8
Pasoh,1987,1990,pa1,802,1.04,0.06,0.36,0.04,3,0.3,2.25,0.05,1.38,0.05,3.7,0.2
Pasoh,1990,1995,pa2,801,1.35,0.07,0.42,0.05,4.3,0.4,1.59,0.03,1.02,0.04,2.5,0.1
Pasoh,1995,2000,pa3,804,1.69,0.09,0.47,0.06,6,0.6,1.55,0.03,1.07,0.03,2.3,0.1
Lambir,1992,1997,lam,1161,1.32,0.07,0.34,0.03,5.2,0.4,1.57,0.03,0.96,0.03,2.6,0.1
HKK,1993,1999,hkk,256,4.11,0.57,0.7,0.19,24.1,6.6,4.83,0.45,1.53,0.26,15.2,2.7
Mudumalai,1988,1992,mu1,56,13.06,3.48,2.65,1.42,64.4,36,7.87,1.26,4.65,1.52,13.3,3.8
Mudumalai,1992,1996,mu2,52,17.06,6.43,2.35,1.51,124,113,6.35,1.67,2.57,1.38,15.7,11
Mudumalai,1996,2000,mu3,39,7.96,2.7,1.73,1.13,36.6,25,5.71,1.53,2.42,1.69,13.4,9.8
Sinharaja,1995,2001,sin,205,1.35,0.17,0.3,0.07,6,1.3,1.38,0.07,0.75,0.07,2.5,0.2
Edoro,1994,2000,edo,368,1.43,0.2,0.21,0.06,9.6,2.5,1.41,0.09,0.57,0.07,3.5,0.5
Lenda,1994,2000,len,346,1.26,0.19,0.18,0.06,8.8,2.2,1.06,0.04,0.66,0.05,1.7,0.1
