"","site","t0","t1","code","rich","mort","mE","mLow","mLowE","mUpp","mUppE","growth","gE","gLow","gLowE","gUpp","gUppE","mg10","mm10","int10","intU10","intL10","sl10","slU10","slL10","sr10","p10","mg100","mm100","int100","intU100","intL100","sl100","slU100","slL100","sr100","p100"
"1","BCI",1982,1985,"bc1",284,3.14,0.46,0.38,0.1,26,6.9,2.84,0.16,1.35,0.14,6,0.7,2.686,2.8605,-0.807382246240884,-0.653162347850773,-0.961602144630996,2.83620585514562,3.17329180249957,2.53492718395015,0.14747049805676,1.1411849243359e-10,1.245,2.4745,0.291178640304262,0.339697604576102,0.242659676032423,1.31597901615849,1.50397991286481,1.15147865749796,0.00266599764346531,0.448163828056459
"2","BCI",1985,1990,"bc2",282,2.56,0.37,0.31,0.08,21.5,5.5,2.41,0.18,0.85,0.12,6.8,1,2.3325,2.3095,-0.430977929051161,-0.316752401435956,-0.545203456666367,2.12117351815087,2.38700380210586,1.88494760256983,0.0791178798898551,4.64820954548806e-06,0.935,1.652,0.288262147842348,0.342762940041783,0.233761355642913,1.60367868979538,1.83489317014759,1.40159949469809,0.00428058402110122,0.340834466899675
"3","BCI",1990,1995,"bc3",282,2.85,0.43,0.32,0.09,25.3,6.7,2.15,0.13,0.89,0.09,5.2,0.7,1.942,2.5525,-0.342676963346179,-0.2398156520177,-0.445538274674657,2.32537326504559,2.60224977142068,2.07795611365802,0.170983407312251,5.94058136016429e-12,0.785,1.612,0.346994612675703,0.392916815067197,0.30107241028421,1.25251831568378,1.42803824862198,1.0985715071968,0.0472334622662967,0.00130856502198706
"4","BCI",1995,2000,"bc4",285,3.35,0.42,0.48,0.11,23.3,5.7,1.97,0.12,0.81,0.09,4.8,0.6,1.879,3.148,-0.131962396043893,-0.0406818440070487,-0.223242948080738,2.19486003399211,2.4624132118274,1.95637781087145,0.133142913847792,1.89534965500116e-09,0.661,1.849,0.443440216667149,0.48481922730671,0.402061206027588,0.932954358993586,1.06378044651947,0.818217554959731,0.050535293551426,0.000901468083855272
"5","BCI",2000,2005,"bc5",285,2.91,0.41,0.4,0.1,21.4,5.5,2.1,0.16,0.73,0.1,6.1,0.9,1.897,2.648,-0.126306944778612,-0.0458325289358121,-0.206781360621412,1.78054436584635,1.99021157251507,1.59296543268552,0.188267121182387,3.94795307556706e-13,0.684,2.052,0.524442607590491,0.571451941750018,0.477433273430963,1.19598199792328,1.3653930969435,1.04759057487438,0.0323026798519974,0.00825316739927384
"6","Yasuni",1996,2003,"yas",1077,1.55,0.1,0.31,0.04,7.7,0.9,1.67,0.04,0.83,0.04,3.4,0.2,1.6285,1.404,-0.292962273364109,-0.260815047119913,-0.325109499608305,2.14452997064608,2.26741423628581,2.02830551268515,0.181589878826289,0,0.6515,1.2195,0.285048976986806,0.303275199031388,0.266822754942223,0.943398575200648,1.00768669126139,0.883211894538907,0.106565625079199,0
"7","La Planada",1997,2003,"lap",218,3.22,0.47,0.45,0.13,22.9,5.9,2.3,0.17,0.93,0.13,5.7,0.8,2.24,2.8515,-0.309999688895139,-0.181506183878186,-0.438493193912093,2.30591037672888,2.6346738530861,2.01817111415048,0.0948036867763911,9.68506592391449e-06,0.662,1.445,0.481972865264926,0.56078880702092,0.403156923508933,1.70790063346738,1.99382651154403,1.46297812618582,0.040636770606959,0.0113503851142576
"8","Pasoh",1987,1990,"pa1",802,1.04,0.06,0.36,0.04,3,0.3,2.25,0.05,1.38,0.05,3.7,0.2,2.205,1.0205,-0.632358003591561,-0.587522414874086,-0.677193592309035,1.85780282407898,1.98368166959077,1.73991189517209,0.120892074107623,0,0.939,1.0335,0.0491612320199617,0.058494257233231,0.0398282068066925,0.973962942161402,1.05030247474958,0.903172024734934,0.0338026136384652,2.1707570450058e-06
"9","Pasoh",1990,1995,"pa2",801,1.35,0.07,0.42,0.05,4.3,0.4,1.59,0.03,1.02,0.04,2.5,0.1,1.561,1.288,-0.369702764606017,-0.331328268281848,-0.408077260930186,2.49112257042998,2.66691656468045,2.32691631342776,0.0633954569132021,1.06226138996135e-12,0.807,1.367,0.244409521871868,0.258177417861063,0.230641625882673,0.962157381958189,1.03755313602207,0.89224040245872,0.0372277532717654,6.77181889674472e-07
"10","Pasoh",1995,2000,"pa3",804,1.69,0.09,0.47,0.06,6,0.6,1.55,0.03,1.07,0.03,2.3,0.1,1.5405,1.6105,-0.399165753950514,-0.35357142231274,-0.444760085588288,3.27247755430294,3.49852012752214,3.0610397977048,0.0932889723285539,0,0.5695,1.6825,0.511669608195854,0.536651695123741,0.486687521267968,1.11182967383805,1.19995166476806,1.03017918131374,0.00521633064385475,0.0636851648516896
"11","Lambir",1992,1997,"lam",1161,1.32,0.07,0.34,0.03,5.2,0.4,1.57,0.03,0.96,0.03,2.6,0.1,1.5445,1.257,-0.373901092134602,-0.344106213830554,-0.403695970438649,2.5588447795905,2.69473139534065,2.42981048773873,0.186924810287604,0,0.5575,0.81,0.223137111174459,0.24643890898832,0.199835313360599,1.16832398220362,1.24164461092939,1.09933302603424,0.0328724917675259,6.97426871809625e-09
"12","HKK",1993,1999,"hkk",256,4.11,0.57,0.7,0.19,24.1,6.6,4.83,0.45,1.53,0.26,15.2,2.7,4.8605,3.545,-0.412143411972007,-0.274777669118801,-0.549509154825213,1.47076101002123,1.67109460231045,1.29444374101139,0.0969220909712369,3.08000749638104e-06,0.919,1.3135,0.210022418205018,0.242631416850133,0.177413419559902,1.10973997020234,1.26003315421218,0.977373331287209,0.0264414690111918,0.0125573669022936
"13","Mudumalai",1988,1992,"mu1",56,13.06,3.48,2.65,1.42,64.4,36,7.87,1.26,4.65,1.52,13.3,3.8,7.713,12.537,5.18765923735385,6.5160315518399,3.85928692286779,-4.55640884028059,-3.31502636953075,-6.26265350725576,0.138675642381627,0.0253106943491685,0.8615,1.259,0.364447874880414,0.498526177743802,0.230369572017026,2.29805146655454,2.96818280790829,1.77921674125425,0.0139038400529015,0.365437523109972
"14","Mudumalai",1992,1996,"mu2",52,17.06,6.43,2.35,1.51,124,113,6.35,1.67,2.57,1.38,15.7,11,6.5925,16.39,3.35685990711549,4.2574422062284,2.45627760800257,-2.79795866098275,-1.90450248809016,-4.11056048365624,0.0436492155210272,0.285995036142783,0.519,1.419,0.9765370188531,1.20844496865545,0.744629069050753,2.64379196399759,3.39808142994905,2.05693597784178,0.0352847562659159,0.143735363456287
"15","Mudumalai",1996,2000,"mu3",39,7.96,2.7,1.73,1.13,36.6,25,5.71,1.53,2.42,1.69,13.4,9.8,6.0295,7.178,2.5164615434345,3.23096525347288,1.80195783339612,-2.09400094051777,-1.36560915406212,-3.21090403198179,0.00693848015997496,0.69878422356144,0.6035,1.048,-0.378725931504573,-0.150335777594531,-0.607116085414615,-2.6336557301097,-2.03115294726547,-3.41487947231041,0.00104721472405571,0.806103258361257
"16","Sinharaja",1995,2001,"sin",205,1.35,0.17,0.3,0.07,6,1.3,1.38,0.07,0.75,0.07,2.5,0.2,1.358,1.265,-0.199527926529537,-0.139228473776462,-0.259827379282613,2.32000037517098,2.63926069510095,2.03935963991144,0.153278194068957,1.07784527969557e-08,0.5865,1.295,-0.152479651499294,-0.0961396320359833,-0.208819670962605,-1.25383601229786,-1.07644911287856,-1.46045430938301,0.00140562075395149,0.629459057649877
"17","Edoro",1994,2000,"edo",368,1.43,0.2,0.21,0.06,9.6,2.5,1.41,0.09,0.57,0.07,3.5,0.5,1.3705,1.2815,-0.126032311600768,-0.0807171736251961,-0.171347449576339,1.7871226782286,1.97605992931459,1.6162503068147,0.0857001006110749,2.29811727425755e-08,0.424,0.797,0.422950723188501,0.5042647988183,0.341636647558703,1.27644895533929,1.46137621639871,1.11492298649962,0.0527072394749279,0.00101363105087859
"18","Lenda",1994,2000,"len",346,1.26,0.19,0.18,0.06,8.8,2.2,1.06,0.04,0.66,0.05,1.7,0.1,1.047,1.1385,0.00661202761057796,0.0448408617378453,-0.0316168065166893,3.83581207766147,4.24707136608171,3.46437651428213,0.0961027409407006,5.80413406225944e-09,0.321,0.998,0.434617789091469,0.495240434456609,0.373995143726329,0.84748662562847,0.97018819882108,0.740303357113484,0.0203386175880623,0.0394065937050962
