site,census,code,genus,species,n10g,r10g,f10g,l10g,u10g,n50g,r50g,f50g,l50g,u50g,n100g,r100g,f100g,l100g, 
BCI,1982-1985,bc1,Abarema,macradenia,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,9.638,1.871,0.759,4.569
BCI,1982-1985,bc1,Acacia,melanoceras,1,0.503,2.351,1.192,4.796,1,2.307,1.946,0.962,4.011,1,0.21,0.895,0.346,2.331
BCI,1982-1985,bc1,Acalypha,diversifolia,952,4.076,4.06,3.771,4.375,42,2.887,2.701,2.002,3.625,2,0.464,0.939,0.367,2.107
BCI,1982-1985,bc1,Acalypha,macrostachya,35,4.453,4.096,2.863,5.65,17,2.694,2.417,1.573,3.727,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Adelia,triloba,121,3.104,3.097,2.543,3.723,63,1.846,1.85,1.461,2.361,97,0.82,0.836,0.676,1.04
BCI,1982-1985,bc1,Aegiphila,panamensis,51,3.027,3.003,2.267,3.907,31,2.114,2.063,1.454,2.856,19,0.938,0.973,0.627,1.513
BCI,1982-1985,bc1,Alchornea,costaricensis,82,3.404,3.326,2.61,4.241,63,3.499,3.261,2.521,4.167,138,1.458,1.45,1.203,1.732
BCI,1982-1985,bc1,Alchornea,latifolia,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2,0.558,1.005,0.41,2.393
BCI,1982-1985,bc1,Alibertia,edulis,258,2.039,2.058,1.794,2.391,18,1.742,1.797,1.147,2.774,1,1.259,1.262,0.513,3.017
BCI,1982-1985,bc1,Allophylus,psilospermus,90,2.986,2.976,2.407,3.758,23,1.88,1.876,1.274,2.764,26,0.789,0.838,0.548,1.25
BCI,1982-1985,bc1,Alseis,blackiana,5377,1.999,2.003,1.943,2.063,573,1.78,1.783,1.637,1.939,679,1.28,1.279,1.182,1.387
BCI,1982-1985,bc1,Amaioua,corymbosa,21,2.775,2.792,1.864,4.271,5,0.63,1.23,0.677,2.269,2,0.186,0.696,0.294,1.674
BCI,1982-1985,bc1,Anacardium,excelsum,1,4.201,2.96,1.56,5.51,3,2.17,1.997,1.068,3.651,15,1.387,1.336,0.825,2.206
BCI,1982-1985,bc1,Anaxagorea,panamensis,378,3.276,3.265,2.914,3.635,2,1.116,1.713,0.886,3.227,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Andira,inermis,194,1.863,1.884,1.634,2.206,53,1.155,1.239,0.938,1.593,33,0.424,0.485,0.348,0.671
BCI,1982-1985,bc1,Annona,acuminata,405,2.056,2.062,1.84,2.285,17,2.267,2.162,1.374,3.241,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Annona,spraguei,17,9.912,6.411,4.045,9.928,7,2.76,2.273,1.347,3.963,16,2.412,2.078,1.3,3.383
BCI,1982-1985,bc1,Apeiba,membranacea,39,5.198,4.621,3.403,6.394,80,2.56,2.492,1.998,3.142,171,1.222,1.224,1.051,1.441
BCI,1982-1985,bc1,Apeiba,tibourbou,6,12.839,5.034,2.88,9.354,9,1.29,1.562,0.937,2.576,20,1.546,1.468,0.985,2.29
BCI,1982-1985,bc1,Aphelandra,sinclairiana,9,6.142,4.207,2.483,7.106,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Appunia,seibertii,1,13.307,3.319,1.579,6.919,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Ardisia,bartlettii,3,2.077,2.686,1.396,5.059,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Ardisia,fendleri,58,1.891,2.011,1.536,2.635,12,1.673,1.807,1.121,2.901,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Ardisia,guianensis,15,1.444,1.879,1.175,2.943,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Aspidosperma,spruceanum,332,1.927,1.941,1.713,2.197,38,1.836,1.852,1.352,2.52,43,1.401,1.4,1.062,1.948
BCI,1982-1985,bc1,Astronium,graveolens,16,2.254,2.415,1.563,3.765,8,1.555,1.761,1.01,2.973,30,1.068,1.097,0.758,1.537
BCI,1982-1985,bc1,Beilschmiedia,pendula,1581,2.618,2.622,2.474,2.771,187,1.628,1.633,1.393,1.915,238,1.454,1.456,1.27,1.673
BCI,1982-1985,bc1,Bertiera,guianensis,2,2.389,2.733,1.51,5.339,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Borojoa,panamensis,1,1.149,2.633,1.278,5.319,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Brosimum,alicastrum,433,2.614,2.623,2.356,2.921,215,1.563,1.581,1.366,1.822,118,0.819,0.833,0.688,0.999
BCI,1982-1985,bc1,Brosimum,guianense,4,2.474,2.728,1.532,5.208,1,0.668,1.725,0.834,3.652,1,0.087,0.787,0.299,2.002
BCI,1982-1985,bc1,Calophyllum,longifolium,451,3.199,3.186,2.882,3.527,80,2.818,2.722,2.157,3.465,48,1.455,1.426,1.086,1.945
BCI,1982-1985,bc1,Capparis,frondosa,3035,1.945,1.948,1.87,2.029,82,1.064,1.122,0.892,1.398,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Casearia,aculeata,297,2.186,2.195,1.931,2.483,67,1.566,1.613,1.256,2.043,18,0.69,0.776,0.504,1.217
BCI,1982-1985,bc1,Casearia,arborea,53,4.18,3.945,2.96,5.215,32,2.426,2.31,1.641,3.313,114,1.713,1.689,1.395,2.064
BCI,1982-1985,bc1,Casearia,commersoniana,13,2.653,2.716,1.735,4.401,5,3.487,2.389,1.36,4.345,2,0.842,1.099,0.476,2.646
BCI,1982-1985,bc1,Casearia,guianensis,7,1.984,2.437,1.389,4.22,7,0.84,1.299,0.717,2.255,1,0.161,0.876,0.353,2.178
BCI,1982-1985,bc1,Casearia,sylvestris,102,2.535,2.572,2.068,3.16,35,1.708,1.747,1.289,2.381,62,0.919,0.941,0.723,1.223
BCI,1982-1985,bc1,Cassipourea,elliptica,583,2.608,2.607,2.386,2.859,70,2.685,2.589,2.046,3.264,63,1.951,1.888,1.467,2.416
BCI,1982-1985,bc1,Cavanillesia,platanifolia,0,NA,NA,NA,NA,2,15.277,2.953,1.462,5.79,15,0.629,0.731,0.444,1.224
