site,census,code,genus,species,n10m,s10m,t10m,r10m,f10m,l10m,u10m,n100m,s100m,t100m,r100m,f100m,l100m,u100m
BCI,1982-1985,bc1,Abarema,macradenia,0,0,NA,NA,NA,NA,NA,1,1,2.735,0,2.448,0.441,10.464
BCI,1982-1985,bc1,Acacia,melanoceras,3,3,3.296,0,2.187,0.3,11.955,2,2,3.417,0,2.447,0.481,9.819
BCI,1982-1985,bc1,Acalypha,diversifolia,1560,1111,3.498,9.704,9.677,8.798,10.602,2,2,3.74,0,2.364,0.494,9.319
BCI,1982-1985,bc1,Acalypha,macrostachya,77,58,2.828,10.021,9.257,5.659,14.354,2,0,2.888,Inf,7.537,1.818,29.774
BCI,1982-1985,bc1,Adelia,triloba,231,198,3.538,4.357,4.285,2.984,5.86,114,108,3.605,1.5,1.606,0.76,3.034
BCI,1982-1985,bc1,Aegiphila,panamensis,112,90,3.023,7.234,6.93,4.426,10.327,23,20,3.379,4.136,3.32,1.158,7.885
BCI,1982-1985,bc1,Alchornea,costaricensis,224,151,3.303,11.94,11.723,9.104,14.562,161,151,3.421,1.875,1.921,0.987,3.192
BCI,1982-1985,bc1,Alchornea,latifolia,0,0,NA,NA,NA,NA,NA,2,2,2.648,0,2.488,0.552,11.049
BCI,1982-1985,bc1,Alibertia,edulis,302,291,3.278,1.132,1.196,0.637,1.975,2,1,3.754,18.466,4.077,0.941,16.571
BCI,1982-1985,bc1,Allophylus,psilospermus,145,119,3.403,5.807,5.603,3.69,8.106,30,28,3.455,1.997,2.113,0.678,5.13
BCI,1982-1985,bc1,Alseis,blackiana,6719,6423,3.274,1.376,1.381,1.217,1.548,837,812,3.415,0.888,0.942,0.628,1.34
BCI,1982-1985,bc1,Amaioua,corymbosa,27,26,3.981,0.948,1.409,0.337,4.281,2,2,4.048,0,2.25,0.522,9.482
BCI,1982-1985,bc1,Anacardium,excelsum,5,4,4.031,5.535,3.888,0.646,15.12,22,22,3.621,0,1.302,0.329,4.046
BCI,1982-1985,bc1,Anaxagorea,panamensis,467,408,2.504,5.393,5.338,4.09,6.82,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Andira,inermis,275,267,3.528,0.837,0.918,0.483,1.63,41,35,3.463,4.569,3.906,1.721,7.554
BCI,1982-1985,bc1,Annona,acuminata,504,463,3.25,2.611,2.598,1.877,3.487,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Annona,hayesii,1,1,4.079,0,2.583,0.392,19.063,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Annona,spraguei,39,26,3.159,12.836,11.425,6.271,18.844,18,16,3.316,3.552,2.895,0.89,7.687
BCI,1982-1985,bc1,Apeiba,membranacea,149,127,3.066,5.211,5.036,3.198,7.509,238,215,3.322,3.06,2.988,1.943,4.293
BCI,1982-1985,bc1,Apeiba,tibourbou,20,16,3.22,6.93,5.655,1.803,13.232,25,22,3.183,4.016,3.208,1.172,7.884
BCI,1982-1985,bc1,Aphelandra,sinclairiana,13,10,2.944,8.911,6.411,1.788,17.705,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Appunia,seibertii,1,1,4.205,0,2.584,0.387,16.416,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Ardisia,bartlettii,3,3,4.171,0,2.237,0.247,11.34,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Ardisia,fendleri,74,72,3.685,0.744,1.076,0.305,2.473,1,1,3.409,0,2.505,0.495,11.387
BCI,1982-1985,bc1,Ardisia,guianensis,21,18,2.683,5.746,4.705,1.314,12.432,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Aspidosperma,spruceanum,404,390,3.653,0.966,1.011,0.584,1.571,46,45,3.728,0.59,1.211,0.386,3.074
BCI,1982-1985,bc1,Astrocaryum,standleyanum,15,8,3.638,17.281,13.669,5.594,27.857,232,220,3.404,1.56,1.631,0.952,2.604
BCI,1982-1985,bc1,Astronium,graveolens,31,26,3.33,5.283,4.674,1.762,9.648,37,37,3.151,0,1.108,0.332,3.139
BCI,1982-1985,bc1,Attalea,butyracea,0,0,NA,NA,NA,NA,NA,43,40,3.358,2.154,2.239,0.82,5.085
BCI,1982-1985,bc1,Beilschmiedia,pendula,2059,1927,3.135,2.113,2.11,1.756,2.47,308,288,3.448,1.947,1.944,1.269,2.94
BCI,1982-1985,bc1,Bertiera,guianensis,2,2,4.189,0,2.235,0.341,12.52,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Borojoa,panamensis,1,1,2.853,0,2.591,0.333,20.555,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Brosimum,alicastrum,677,664,3.392,0.572,0.633,0.341,0.974,182,171,3.348,1.862,1.875,1.085,3.057
BCI,1982-1985,bc1,Brosimum,guianense,5,5,3.924,0,1.731,0.296,8.339,1,1,4.386,0,2.27,0.569,9.679
BCI,1982-1985,bc1,Calophyllum,longifolium,589,542,3.322,2.503,2.481,1.819,3.263,55,50,3.305,2.884,2.737,1.164,5.488
BCI,1982-1985,bc1,Capparis,frondosa,3523,3418,3.509,0.862,0.867,0.72,1.041,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Casearia,aculeata,445,405,3.427,2.749,2.728,1.945,3.687,24,21,3.382,3.948,3.227,1.043,8.036
BCI,1982-1985,bc1,Casearia,arborea,117,88,3.051,9.337,8.985,6.07,12.64,151,124,3.218,6.122,5.723,3.826,8.148
BCI,1982-1985,bc1,Casearia,commersoniana,19,19,2.579,0,1.251,0.231,4.827,2,2,2.593,0,2.502,0.526,10.425
BCI,1982-1985,bc1,Casearia,guianensis,14,14,3.651,0,1.222,0.214,5.099,1,1,3.088,0,2.373,0.519,10.442
BCI,1982-1985,bc1,Casearia,sylvestris,173,146,3.104,5.467,5.332,3.546,7.637,73,63,3.482,4.231,3.861,2.017,6.79
BCI,1982-1985,bc1,Cassipourea,elliptica,694,679,3.098,0.705,0.758,0.454,1.181,66,63,3.216,1.446,1.704,0.671,3.744
BCI,1982-1985,bc1,Cavanillesia,platanifolia,2,2,3.788,0,2.583,0.342,14.258,21,20,3.762,1.297,1.861,0.494,4.993
BCI,1982-1985,bc1,Cecropia,insignis,235,108,3.316,23.449,23.019,19.188,27.325,278,235,3.164,5.31,5.101,3.727,6.869
BCI,1982-1985,bc1,Cecropia,obtusifolia,23,5,3.179,48.01,40.392,23.849,64.767,38,23,3.115,16.12,12.815,6.978,21.233
BCI,1982-1985,bc1,Cedrela,odorata,3,2,3.326,12.189,5.235,0.776,23.509,2,2,3.216,0,2.27,0.441,9.637
BCI,1982-1985,bc1,Ceiba,pentandra,30,21,3.079,11.583,10.041,4.859,18.281,43,40,3.27,2.211,2.229,0.824,4.899
BCI,1982-1985,bc1,Celtis,schippii,139,127,3.477,2.597,2.601,1.447,4.232,42,37,3.385,3.745,3.232,1.37,6.75
BCI,1982-1985,bc1,Cespedesia,spathulata,4,3,3.721,7.73,4.466,0.823,16.969,3,2,3.377,12.008,3.839,0.94,14.986
BCI,1982-1985,bc1,Cestrum,megalophyllum,307,212,3.434,10.783,10.604,8.565,12.855,0,0,NA,NA,NA,NA,NA
