site,country,lati,long,elev,area,nTrees,richness,precip,drySeason
BCI,Panama,9.151644,Ð79.850929,144,50,235379,305,2551,4
Yasuni,Ecuador,Ð0.685907,Ð76.395279,228,25,151205,1115,3081,0
La Planada,Colombia,1.155823,Ð77.993529,1797,25,113182,222,4087,0
Pasoh,Malaysia,1.816459,120.314821,80,50,334916,814,1788,0
Lambir,Malaysia,4.186508,114.017058,180,52,346061,1180,2664,0
HKK,Thailand,15.632372,99.216989,577,50,79345,293,1476,6
Mudumalai,India,11.598904,76.53376,380,50,25929,73,1206,6
Sinharaja,Sri Lanka,6.40226,122.402257,471,25,205320,207,5074,0
Edoro,Congo,1.561447,28.515214,750,20,205320,379,1785,2
Lenda,Congo,1.31664,28.64548,750,20,136651,368,1674,2
